source	target	interaction	directed
UC_x5XG1OV2P6uZZ5FSM9Ttw	UCP4bf6IHJJQehibu6ai__cg	pp	true
UC_x5XG1OV2P6uZZ5FSM9Ttw	UCVHFbqXqoYvEWM1Ddxl0QDg	pp	true
UC_x5XG1OV2P6uZZ5FSM9Ttw	UCnUYZLuoy1rq1aVMwx4aTzw	pp	true
UC_x5XG1OV2P6uZZ5FSM9Ttw	UClKO7be7O9cUGL94PHnAeOA	pp	true
UC_x5XG1OV2P6uZZ5FSM9Ttw	UCdIiCSqXuybzwGwJwrpHPqw	pp	true
UC_x5XG1OV2P6uZZ5FSM9Ttw	UCJS9pqu9BzkAMNTmzNMNhvg	pp	true
UC_x5XG1OV2P6uZZ5FSM9Ttw	UCorTyjVGM-PV5CCKbosONow	pp	true
UC_x5XG1OV2P6uZZ5FSM9Ttw	UCeo-MamuQVFRcfQmS2N7fhw	pp	true
UC_x5XG1OV2P6uZZ5FSM9Ttw	UCQqa5UIHtrnpiADC3eHFupw	pp	true
UC_x5XG1OV2P6uZZ5FSM9Ttw	UCXPBsjgKKG2HqsKBhWA4uQw	pp	true
UCP4bf6IHJJQehibu6ai__cg	UCVHFbqXqoYvEWM1Ddxl0QDg	pp	true
UCP4bf6IHJJQehibu6ai__cg	UCnUYZLuoy1rq1aVMwx4aTzw	pp	true
UCP4bf6IHJJQehibu6ai__cg	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true
UCVHFbqXqoYvEWM1Ddxl0QDg	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true
UCVHFbqXqoYvEWM1Ddxl0QDg	UCnUYZLuoy1rq1aVMwx4aTzw	pp	true
UCVHFbqXqoYvEWM1Ddxl0QDg	UClKO7be7O9cUGL94PHnAeOA	pp	true
UCnUYZLuoy1rq1aVMwx4aTzw	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true
UCnUYZLuoy1rq1aVMwx4aTzw	UCVHFbqXqoYvEWM1Ddxl0QDg	pp	true
UCnUYZLuoy1rq1aVMwx4aTzw	UClKO7be7O9cUGL94PHnAeOA	pp	true
UCnUYZLuoy1rq1aVMwx4aTzw	UCP4bf6IHJJQehibu6ai__cg	pp	true
UCnUYZLuoy1rq1aVMwx4aTzw	UCXPBsjgKKG2HqsKBhWA4uQw	pp	true
UClKO7be7O9cUGL94PHnAeOA	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true
UCdIiCSqXuybzwGwJwrpHPqw	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true
UCdIiCSqXuybzwGwJwrpHPqw	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true
UCdIiCSqXuybzwGwJwrpHPqw	UCtXKDgv1AVoG88PLl8nGXmw	pp	true
UCdIiCSqXuybzwGwJwrpHPqw	UCbmNph6atAoGfqLoCL_duAg	pp	true
UCdIiCSqXuybzwGwJwrpHPqw	UCFJcu7Lj_qmYuPhMAerryUA	pp	true
UCJS9pqu9BzkAMNTmzNMNhvg	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true
UCJS9pqu9BzkAMNTmzNMNhvg	UCBmwzQnSoj9b6HzNmFrg_yw	pp	true
UCJS9pqu9BzkAMNTmzNMNhvg	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true
UCJS9pqu9BzkAMNTmzNMNhvg	UCTMRxtyHoE3LPcrl-kT4AQQ	pp	true
UCorTyjVGM-PV5CCKbosONow	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true
UCeo-MamuQVFRcfQmS2N7fhw	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true
UCQqa5UIHtrnpiADC3eHFupw	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true
UCQqa5UIHtrnpiADC3eHFupw	UCVHFbqXqoYvEWM1Ddxl0QDg	pp	true
UCQqa5UIHtrnpiADC3eHFupw	UCnUYZLuoy1rq1aVMwx4aTzw	pp	true
UCQqa5UIHtrnpiADC3eHFupw	UCP4bf6IHJJQehibu6ai__cg	pp	true
UCQqa5UIHtrnpiADC3eHFupw	UCJS9pqu9BzkAMNTmzNMNhvg	pp	true
UCXPBsjgKKG2HqsKBhWA4uQw	UCnUYZLuoy1rq1aVMwx4aTzw	pp	true
UCXPBsjgKKG2HqsKBhWA4uQw	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true
