source	target	interaction	directed	name	weight
UC_x5XG1OV2P6uZZ5FSM9Ttw	UCP4bf6IHJJQehibu6ai__cg	pp	true	Google Developers	20
UC_x5XG1OV2P6uZZ5FSM9Ttw	UCVHFbqXqoYvEWM1Ddxl0QDg	pp	true	Google Developers	20
UC_x5XG1OV2P6uZZ5FSM9Ttw	UCnUYZLuoy1rq1aVMwx4aTzw	pp	true	Google Developers	20
UC_x5XG1OV2P6uZZ5FSM9Ttw	UClKO7be7O9cUGL94PHnAeOA	pp	true	Google Developers	20
UC_x5XG1OV2P6uZZ5FSM9Ttw	UCdIiCSqXuybzwGwJwrpHPqw	pp	true	Google Developers	20
UC_x5XG1OV2P6uZZ5FSM9Ttw	UCJS9pqu9BzkAMNTmzNMNhvg	pp	true	Google Developers	20
UC_x5XG1OV2P6uZZ5FSM9Ttw	UCorTyjVGM-PV5CCKbosONow	pp	true	Google Developers	20
UC_x5XG1OV2P6uZZ5FSM9Ttw	UCeo-MamuQVFRcfQmS2N7fhw	pp	true	Google Developers	20
UC_x5XG1OV2P6uZZ5FSM9Ttw	UCQqa5UIHtrnpiADC3eHFupw	pp	true	Google Developers	20
UC_x5XG1OV2P6uZZ5FSM9Ttw	UCXPBsjgKKG2HqsKBhWA4uQw	pp	true	Google Developers	20
UCP4bf6IHJJQehibu6ai__cg	UCVHFbqXqoYvEWM1Ddxl0QDg	pp	true	Firebase	3
UCP4bf6IHJJQehibu6ai__cg	UCnUYZLuoy1rq1aVMwx4aTzw	pp	true	Firebase	3
UCP4bf6IHJJQehibu6ai__cg	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true	Firebase	3
UCVHFbqXqoYvEWM1Ddxl0QDg	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true	Android Developers	6
UCVHFbqXqoYvEWM1Ddxl0QDg	UCnUYZLuoy1rq1aVMwx4aTzw	pp	true	Android Developers	6
UCVHFbqXqoYvEWM1Ddxl0QDg	UClKO7be7O9cUGL94PHnAeOA	pp	true	Android Developers	6
UCnUYZLuoy1rq1aVMwx4aTzw	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true	Google Chrome Developers	6
UCnUYZLuoy1rq1aVMwx4aTzw	UCVHFbqXqoYvEWM1Ddxl0QDg	pp	true	Google Chrome Developers	6
UCnUYZLuoy1rq1aVMwx4aTzw	UClKO7be7O9cUGL94PHnAeOA	pp	true	Google Chrome Developers	6
UCnUYZLuoy1rq1aVMwx4aTzw	UCP4bf6IHJJQehibu6ai__cg	pp	true	Google Chrome Developers	6
UCnUYZLuoy1rq1aVMwx4aTzw	UCXPBsjgKKG2HqsKBhWA4uQw	pp	true	Google Chrome Developers	6
UClKO7be7O9cUGL94PHnAeOA	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true	Google Design	3
UCdIiCSqXuybzwGwJwrpHPqw	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true	Women Techmakers	3
UCdIiCSqXuybzwGwJwrpHPqw	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true	Women Techmakers	3
UCdIiCSqXuybzwGwJwrpHPqw	UCtXKDgv1AVoG88PLl8nGXmw	pp	true	Women Techmakers	3
UCdIiCSqXuybzwGwJwrpHPqw	UCbmNph6atAoGfqLoCL_duAg	pp	true	Women Techmakers	3
UCdIiCSqXuybzwGwJwrpHPqw	UCFJcu7Lj_qmYuPhMAerryUA	pp	true	Women Techmakers	3
UCJS9pqu9BzkAMNTmzNMNhvg	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true	Google Cloud Platform	4
UCJS9pqu9BzkAMNTmzNMNhvg	UCBmwzQnSoj9b6HzNmFrg_yw	pp	true	Google Cloud Platform	4
UCJS9pqu9BzkAMNTmzNMNhvg	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true	Google Cloud Platform	4
UCJS9pqu9BzkAMNTmzNMNhvg	UCTMRxtyHoE3LPcrl-kT4AQQ	pp	true	Google Cloud Platform	4
UCorTyjVGM-PV5CCKbosONow	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true	Google Developers Launchpad	1
UCeo-MamuQVFRcfQmS2N7fhw	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true	Google Developers LATAM	1
UCQqa5UIHtrnpiADC3eHFupw	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true	Google Developers for Chinese language	1
UCQqa5UIHtrnpiADC3eHFupw	UCVHFbqXqoYvEWM1Ddxl0QDg	pp	true	Google Developers for Chinese language	1
UCQqa5UIHtrnpiADC3eHFupw	UCnUYZLuoy1rq1aVMwx4aTzw	pp	true	Google Developers for Chinese language	1
UCQqa5UIHtrnpiADC3eHFupw	UCP4bf6IHJJQehibu6ai__cg	pp	true	Google Developers for Chinese language	1
UCQqa5UIHtrnpiADC3eHFupw	UCJS9pqu9BzkAMNTmzNMNhvg	pp	true	Google Developers for Chinese language	1
UCXPBsjgKKG2HqsKBhWA4uQw	UCnUYZLuoy1rq1aVMwx4aTzw	pp	true	The AMP Channel	2
UCXPBsjgKKG2HqsKBhWA4uQw	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true	The AMP Channel	2
UCK8sQmJBp8GCxrOtXWBpyEA	UCL8ZULXASCc1I_oaOT0NaOQ	pp	true	Google	25
UCK8sQmJBp8GCxrOtXWBpyEA	UC9M7-jzdU8CVrQo1JwmIdWA	pp	true	Google	25
UCK8sQmJBp8GCxrOtXWBpyEA	UCBR8-60-B28hp2BmDPdntcQ	pp	true	Google	25
UCK8sQmJBp8GCxrOtXWBpyEA	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true	Google	25
UCK8sQmJBp8GCxrOtXWBpyEA	UCUjlPym2cxucUVPdE8kYOOg	pp	true	Google	25
UCK8sQmJBp8GCxrOtXWBpyEA	UCbmNph6atAoGfqLoCL_duAg	pp	true	Google	25
UCK8sQmJBp8GCxrOtXWBpyEA	UCrRK02_CbvPEPrDYMQ1l49w	pp	true	Google	25
UCK8sQmJBp8GCxrOtXWBpyEA	UCt84aUC9OG6di8kSdKzEHTQ	pp	true	Google	25
UCK8sQmJBp8GCxrOtXWBpyEA	UCBmwzQnSoj9b6HzNmFrg_yw	pp	true	Google	25
UCK8sQmJBp8GCxrOtXWBpyEA	UCWmlRLAOpx9f1t_cVkBx8-g	pp	true	Google	25
UCK8sQmJBp8GCxrOtXWBpyEA	UC3x6qC4h-NyuvQBSZYaPKrQ	pp	true	Google	25
UCK8sQmJBp8GCxrOtXWBpyEA	UCf4AIjSwE-E2TggCPdm-z-A	pp	true	Google	25
UCK8sQmJBp8GCxrOtXWBpyEA	UCGn7dlcAmH44GqycKa_3ssA	pp	true	Google	25
UCK8sQmJBp8GCxrOtXWBpyEA	UCpd0xtuhhWwUug1bk84usiA	pp	true	Google	25
UCtXKDgv1AVoG88PLl8nGXmw	UCbmNph6atAoGfqLoCL_duAg	pp	true	GoogleTechTalks	1
UCtXKDgv1AVoG88PLl8nGXmw	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true	GoogleTechTalks	1
UCtXKDgv1AVoG88PLl8nGXmw	UCt84aUC9OG6di8kSdKzEHTQ	pp	true	GoogleTechTalks	1
UCtXKDgv1AVoG88PLl8nGXmw	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true	GoogleTechTalks	1
UCbmNph6atAoGfqLoCL_duAg	UCEmCXnbNYz-MOtXi3lZ7W1Q	pp	true	Talks at Google	4
UCFJcu7Lj_qmYuPhMAerryUA	UCxqyBoACUss6OxFdmFvxcXQ	pp	true	Google.org	4
UCFJcu7Lj_qmYuPhMAerryUA	UCSmyV6P8_ir9EV4Z4tYA2QA	pp	true	Google.org	4
UCFJcu7Lj_qmYuPhMAerryUA	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true	Google.org	4
UCFJcu7Lj_qmYuPhMAerryUA	UCt84aUC9OG6di8kSdKzEHTQ	pp	true	Google.org	4
UCFJcu7Lj_qmYuPhMAerryUA	UC0_ALFRaovsmae1Y8bILisQ	pp	true	Google.org	4
UCBmwzQnSoj9b6HzNmFrg_yw	UCJS9pqu9BzkAMNTmzNMNhvg	pp	true	G Suite	6
UCBmwzQnSoj9b6HzNmFrg_yw	UCt84aUC9OG6di8kSdKzEHTQ	pp	true	G Suite	6
UCBmwzQnSoj9b6HzNmFrg_yw	UCL8ZULXASCc1I_oaOT0NaOQ	pp	true	G Suite	6
UCTMRxtyHoE3LPcrl-kT4AQQ	UCJS9pqu9BzkAMNTmzNMNhvg	pp	true	Google Cloud	1
UCTMRxtyHoE3LPcrl-kT4AQQ	UCBmwzQnSoj9b6HzNmFrg_yw	pp	true	Google Cloud	1
UCTMRxtyHoE3LPcrl-kT4AQQ	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true	Google Cloud	1
UCTMRxtyHoE3LPcrl-kT4AQQ	UCWIzrKzN4KY6BPU8hsk880Q	pp	true	Google Cloud	1
UCTMRxtyHoE3LPcrl-kT4AQQ	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true	Google Cloud	1
UCTMRxtyHoE3LPcrl-kT4AQQ	UCdIiCSqXuybzwGwJwrpHPqw	pp	true	Google Cloud	1
UCL8ZULXASCc1I_oaOT0NaOQ	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true	Google Chrome	9
UCL8ZULXASCc1I_oaOT0NaOQ	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true	Google Chrome	9
UCL8ZULXASCc1I_oaOT0NaOQ	UCnUYZLuoy1rq1aVMwx4aTzw	pp	true	Google Chrome	9
UC9M7-jzdU8CVrQo1JwmIdWA	UCrRK02_CbvPEPrDYMQ1l49w	pp	true	Android	3
UC9M7-jzdU8CVrQo1JwmIdWA	UCVHFbqXqoYvEWM1Ddxl0QDg	pp	true	Android	3
UC9M7-jzdU8CVrQo1JwmIdWA	UCL8ZULXASCc1I_oaOT0NaOQ	pp	true	Android	3
UC9M7-jzdU8CVrQo1JwmIdWA	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true	Android	3
UCBR8-60-B28hp2BmDPdntcQ	UCMDQxm7cUx3yXkfeHa5zJIQ	pp	true	YouTube	13
UCBR8-60-B28hp2BmDPdntcQ	UCUZHFZ9jIKrLroW8LcyJEQQ	pp	true	YouTube	13
UCBR8-60-B28hp2BmDPdntcQ	UCkRfArvrzheW2E7b6SVT7vQ	pp	true	YouTube	13
UCBR8-60-B28hp2BmDPdntcQ	UCeNZlh03MyUkjRlLFpVQxsg	pp	true	YouTube	13
UCBR8-60-B28hp2BmDPdntcQ	UCEN58iXQg82TXgsDCjWqIkg	pp	true	YouTube	13
UCBR8-60-B28hp2BmDPdntcQ	UCtVd0c0tGXuTSbU5d8cSBUg	pp	true	YouTube	13
UCBR8-60-B28hp2BmDPdntcQ	UCfFyYRYslvuhwMDnx6KjUvw	pp	true	YouTube	13
UCUjlPym2cxucUVPdE8kYOOg	UC9M7-jzdU8CVrQo1JwmIdWA	pp	true	Google Nexus	1
UCUjlPym2cxucUVPdE8kYOOg	UCVHFbqXqoYvEWM1Ddxl0QDg	pp	true	Google Nexus	1
UCUjlPym2cxucUVPdE8kYOOg	UCrRK02_CbvPEPrDYMQ1l49w	pp	true	Google Nexus	1
UCUjlPym2cxucUVPdE8kYOOg	UCL8ZULXASCc1I_oaOT0NaOQ	pp	true	Google Nexus	1
UCUjlPym2cxucUVPdE8kYOOg	UCBR8-60-B28hp2BmDPdntcQ	pp	true	Google Nexus	1
UCUjlPym2cxucUVPdE8kYOOg	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true	Google Nexus	1
UCUjlPym2cxucUVPdE8kYOOg	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true	Google Nexus	1
UCUjlPym2cxucUVPdE8kYOOg	UCyF-6wI0EoKAe7nZqlIOrOA	pp	true	Google Nexus	1
UCUjlPym2cxucUVPdE8kYOOg	UCbmNph6atAoGfqLoCL_duAg	pp	true	Google Nexus	1
UCt84aUC9OG6di8kSdKzEHTQ	UCAn-f5AvAospCM1Jzgn9QHw	pp	true	Google Play	5
UCt84aUC9OG6di8kSdKzEHTQ	UCBmwzQnSoj9b6HzNmFrg_yw	pp	true	Google Play	5
UCt84aUC9OG6di8kSdKzEHTQ	UCx2UPs9ulKLkJ9-7Dw8LiIg	pp	true	Google Play	5
UCt84aUC9OG6di8kSdKzEHTQ	UCtyYTpFBzWdoSFx2Gl2VNbQ	pp	true	Google Play	5
UCt84aUC9OG6di8kSdKzEHTQ	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true	Google Play	5
UCWmlRLAOpx9f1t_cVkBx8-g	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true	Google for Education	6
UCWmlRLAOpx9f1t_cVkBx8-g	UCrRK02_CbvPEPrDYMQ1l49w	pp	true	Google for Education	6
UCWmlRLAOpx9f1t_cVkBx8-g	UCL8ZULXASCc1I_oaOT0NaOQ	pp	true	Google for Education	6
UCWmlRLAOpx9f1t_cVkBx8-g	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true	Google for Education	6
UC3x6qC4h-NyuvQBSZYaPKrQ	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true	Google Nest	2
UC3x6qC4h-NyuvQBSZYaPKrQ	UCL8ZULXASCc1I_oaOT0NaOQ	pp	true	Google Nest	2
UC3x6qC4h-NyuvQBSZYaPKrQ	UCrRK02_CbvPEPrDYMQ1l49w	pp	true	Google Nest	2
UC3x6qC4h-NyuvQBSZYaPKrQ	UCIG1k8umaCIIrujZPzZPIMA	pp	true	Google Nest	2
UC3x6qC4h-NyuvQBSZYaPKrQ	UCMDQxm7cUx3yXkfeHa5zJIQ	pp	true	Google Nest	2
UCf4AIjSwE-E2TggCPdm-z-A	UC70QckdMkEtr9QHDhRn8-kw	pp	true	Google Help	1
UCf4AIjSwE-E2TggCPdm-z-A	UCCLyNDhxwpqNe3UeEmGHl8g	pp	true	Google Help	1
UCf4AIjSwE-E2TggCPdm-z-A	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true	Google Help	1
UCf4AIjSwE-E2TggCPdm-z-A	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true	Google Help	1
UCf4AIjSwE-E2TggCPdm-z-A	UC9M7-jzdU8CVrQo1JwmIdWA	pp	true	Google Help	1
UCGn7dlcAmH44GqycKa_3ssA	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true	Nat and Friends	2
UCpd0xtuhhWwUug1bk84usiA	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true	Google Arts & Culture	3
UCpd0xtuhhWwUug1bk84usiA	UCBR8-60-B28hp2BmDPdntcQ	pp	true	Google Arts & Culture	3
UCEmCXnbNYz-MOtXi3lZ7W1Q	UC7LeBTDzQhjcsEG9VjueUTg	pp	true	Grow with Google	1
UCEmCXnbNYz-MOtXi3lZ7W1Q	UC6nSFpj9HTCZ5t-N3Rm3-HA	pp	true	Grow with Google	1
UCEmCXnbNYz-MOtXi3lZ7W1Q	UCwmFOfFuvRPI112vR5DNnrA	pp	true	Grow with Google	1
UCEmCXnbNYz-MOtXi3lZ7W1Q	UCqmugCqELzhIMNYnsjScXXw	pp	true	Grow with Google	1
UCEmCXnbNYz-MOtXi3lZ7W1Q	UCBMxQPhfM6nkhQ8vPfQhkCg	pp	true	Grow with Google	1
UCEmCXnbNYz-MOtXi3lZ7W1Q	UCRPktNf5vnBR1J4e7t1RUVg	pp	true	Grow with Google	1
UCxqyBoACUss6OxFdmFvxcXQ	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true	The Key of Awesome	14
UCxqyBoACUss6OxFdmFvxcXQ	UC_x5XG1OV2P6uZZ5FSM9Ttw	pp	true	The Key of Awesome	14
UCxqyBoACUss6OxFdmFvxcXQ	UCFJcu7Lj_qmYuPhMAerryUA	pp	true	The Key of Awesome	14
UCSmyV6P8_ir9EV4Z4tYA2QA	UCFJcu7Lj_qmYuPhMAerryUA	pp	true	Google Glass	1
UCSmyV6P8_ir9EV4Z4tYA2QA	UCK8sQmJBp8GCxrOtXWBpyEA	pp	true	Google Glass	1
UCSmyV6P8_ir9EV4Z4tYA2QA	UCt84aUC9OG6di8kSdKzEHTQ	pp	true	Google Glass	1
UCSmyV6P8_ir9EV4Z4tYA2QA	UCBmwzQnSoj9b6HzNmFrg_yw	pp	true	Google Glass	1
UCSmyV6P8_ir9EV4Z4tYA2QA	UCGnX8ABNZYuZrhzT-sJVaeg	pp	true	Google Glass	1
UCSmyV6P8_ir9EV4Z4tYA2QA	UCfFyYRYslvuhwMDnx6KjUvw	pp	true	Google Glass	1
UCSmyV6P8_ir9EV4Z4tYA2QA	UCgl9rHdm9KojNRWs56QI_hg	pp	true	Google Glass	1
UCSmyV6P8_ir9EV4Z4tYA2QA	UC6ZEIvlahVCA8k5tYTr_a2A	pp	true	Google Glass	1
